High,mean_2m,min_2m,max_2m,dewpoint_2m,total_precip,surf_press,mean_sea_press,u_wind,v_wind
3016.07,281.9775654,276.67999,289.1103148,272.8385909,0.001620474,93349.6618,102357.1111,0.275015478,-0.845744148
3004.78,283.6079011,278.192784,289.8891087,273.8935916,0.001461897,92819.15034,101693.9424,1.626562431,-0.310754901
3014.57,284.3518226,279.4759822,290.1904175,275.0091846,0.003037483,92705.16502,101585.3837,2.15650709,-0.057807371
3007.33,284.4993358,279.8643532,290.0389105,276.1799119,0.00658625,92401.12419,101285.9062,0.929614902,-0.258747955
3000,284.962942,280.0728897,291.413575,275.9138178,0.000978924,92142.83617,100900.967,0.998871361,1.002155553
3008.29,285.0113476,279.8264276,291.8854342,274.6988608,0.002647802,92315.54396,101034.1778,0.902293037,0.725010484
2997.54,285.3406113,280.1196391,292.0800043,275.4532259,0.004206008,92778.54456,101581.2823,0.629462869,-0.154804279
3003.28,285.7359467,280.5727518,292.2172806,276.5139403,0.002359419,92812.06071,101630.1993,0.527782534,-0.014454681
2972.84,284.9561684,279.0011537,292.436562,274.7797226,0.000826534,92623.74432,101399.1573,0.845902316,0.890008483
2993.28,281.9133043,275.9526051,289.5649427,272.217723,0.003748457,93046.21129,102106.1845,0.737984276,-1.05943482
2948.46,284.5361887,279.6663898,291.3024537,275.9815014,0.003124099,92878.53664,101882.6398,-0.15758896,-0.562691745
2929.32,287.0141381,281.7146359,294.2768404,277.5656842,0.00139793,92614.16796,101408.0316,-0.148271837,0.564125978
2925.47,288.1853232,282.0686366,295.7140117,277.6568501,0.001450803,92743.39377,101459.5948,0.343378944,1.088338602
2959.75,287.6501783,281.5415424,295.2965382,277.5210522,0.003940483,93152.40911,101962.3733,0.459751773,0.249098321
2953.74,287.6699824,283.1293258,293.3500761,279.8552813,0.001265237,93059.66125,101868.3723,-0.379492025,0.190880702
2911.13,287.9577379,282.9555366,294.4575234,279.8186092,0.002317092,92930.05581,101758.4791,-0.008925042,-0.012464088
2924.78,288.6692611,283.7418832,294.4537696,281.1565217,0.003084742,92745.45598,101588.1055,0.048192175,0.241459944
2992.53,289.3813777,284.7039833,295.2704125,282.3096934,0.003341709,92699.79092,101518.138,0.116135784,0.738483482
2983.85,290.101627,285.5488567,295.7378772,282.9285144,0.002829764,92646.33685,101433.7921,-0.171144268,1.609712951
2987.31,291.8105146,286.7940351,298.1216363,283.6323709,0.001556905,92299.4118,100968.207,0.947627589,1.024235631
2987.28,291.9308323,286.4218136,298.4656488,282.8585747,0.00166496,92485.85864,101160.8799,1.128804642,0.87384716
2989.82,292.3485758,286.5964978,299.0565459,283.0984495,0.000952316,92500.52916,101187.0059,1.260387843,0.16598131
3007.98,292.6430944,287.3482872,299.195604,283.950082,0.001547213,92660.75489,101361.1426,1.174886952,0.487693483
2999.15,292.6157217,287.0573627,299.2017914,283.8163163,0.00172705,92762.12605,101459.0601,1.099977184,1.135633442
3016.37,292.7403952,287.9419437,298.8322376,284.9184176,0.002103955,92751.84464,101439.0266,-0.32296561,1.531644932
3021.99,292.9306355,287.4659911,299.2994087,283.996053,0.002059277,92743.41938,101414.1692,-0.596318441,1.182655974
3007.83,293.485467,287.924717,299.7373669,283.9313676,0.002308039,92667.11915,101345.8996,0.035675313,1.220944155
3006.21,294.4021125,289.2372438,300.6479277,285.4089844,0.001137248,92625.53806,101285.3686,0.044667412,1.488243091
3002.19,295.371678,289.9500905,301.990595,285.2847544,0.001042497,92667.53501,101287.91,0.03669537,1.528644549
3017.33,293.2914409,287.5557514,300.3524435,283.6222112,0.002260711,93166.15921,101890.6701,0.37480018,0.427645666
3020.74,293.289807,288.1600352,299.6129373,285.1785488,0.004877866,93080.91901,101828.9677,-0.092960358,0.197991481
